epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.5931,1.44295,0.69002,0.99124,0.87391,0.000329365,0.000329365,0.000329365
2,56.7691,0.76945,0.77408,0.99825,0.58987,0.000662626,0.000662626,0.000662626
3,83.7412,0.69606,0.75832,0.9965,0.7251,0.000995595,0.000995595,0.000995595
4,108.886,0.71215,0.7951,0.9965,0.55447,0.000999014,0.000999014,0.000999014
5,134.184,0.64461,0.8056,0.9965,0.55463,0.000998248,0.000998248,0.000998248
6,159.405,0.52946,0.8634,1,0.39895,0.000997264,0.000997264,0.000997264
7,186.296,0.48551,0.84939,0.99825,0.41751,0.000996061,0.000996061,0.000996061
8,212.486,0.4147,0.88266,0.99825,0.32676,0.000994642,0.000994642,0.000994642
9,238.322,0.40311,0.90543,0.99825,0.26136,0.000993005,0.000993005,0.000993005
10,264.508,0.38982,0.89842,0.99825,0.29595,0.000991152,0.000991152,0.000991152
11,290.152,0.32948,0.93695,1,0.22822,0.000989085,0.000989085,0.000989085
12,316.249,0.31891,0.9352,1,0.2223,0.000986803,0.000986803,0.000986803
13,342.129,0.36083,0.90893,1,0.2914,0.000984307,0.000984307,0.000984307
14,367.105,0.2959,0.91068,1,0.32806,0.0009816,0.0009816,0.0009816
15,394.446,0.29057,0.9282,1,0.23922,0.000978681,0.000978681,0.000978681
16,420.66,0.32787,0.92294,1,0.24462,0.000975553,0.000975553,0.000975553
17,446.283,0.29396,0.91594,0.99825,0.27618,0.000972216,0.000972216,0.000972216
18,471.593,0.27731,0.93345,0.99825,0.26652,0.000968672,0.000968672,0.000968672
19,497.117,0.23269,0.92294,1,0.25229,0.000964923,0.000964923,0.000964923
20,522.659,0.23501,0.92995,1,0.23063,0.000960971,0.000960971,0.000960971
21,548.784,0.24793,0.91594,0.99825,0.32949,0.000956816,0.000956816,0.000956816
22,574.539,0.23869,0.94746,1,0.16719,0.000952461,0.000952461,0.000952461
23,600.163,0.23362,0.95271,0.99825,0.22847,0.000947908,0.000947908,0.000947908
24,626.707,0.23239,0.93345,0.99825,0.27091,0.000943159,0.000943159,0.000943159
25,652.635,0.21916,0.94221,0.9965,0.20889,0.000938215,0.000938215,0.000938215
26,678.795,0.20502,0.94221,0.99825,0.22881,0.00093308,0.00093308,0.00093308
27,704.756,0.18732,0.93695,1,0.22187,0.000927754,0.000927754,0.000927754
28,730.445,0.18837,0.94396,1,0.1832,0.000922242,0.000922242,0.000922242
29,756.508,0.2027,0.94921,0.99825,0.18516,0.000916544,0.000916544,0.000916544
30,782.945,0.18447,0.95622,1,0.21617,0.000910664,0.000910664,0.000910664
31,809.261,0.18109,0.94746,0.99825,0.23602,0.000904604,0.000904604,0.000904604
32,835.682,0.2098,0.95096,0.99825,0.21866,0.000898367,0.000898367,0.000898367
33,860.923,0.20925,0.95447,1,0.19673,0.000891955,0.000891955,0.000891955
34,886.733,0.20534,0.95271,1,0.18865,0.000885371,0.000885371,0.000885371
35,912.755,0.16896,0.96147,1,0.17374,0.000878619,0.000878619,0.000878619
36,938.489,0.1542,0.96497,1,0.14749,0.000871701,0.000871701,0.000871701
37,964.214,0.15665,0.94571,1,0.24296,0.00086462,0.00086462,0.00086462
38,989.305,0.1781,0.95622,1,0.1948,0.000857379,0.000857379,0.000857379
39,1015.77,0.15933,0.95622,1,0.18947,0.000849982,0.000849982,0.000849982
40,1041.53,0.16751,0.95972,0.99825,0.18604,0.000842431,0.000842431,0.000842431
41,1067.06,0.11705,0.95622,1,0.16975,0.000834731,0.000834731,0.000834731
42,1093.15,0.12877,0.96322,1,0.17645,0.000826884,0.000826884,0.000826884
43,1119.1,0.15028,0.95972,0.99825,0.22185,0.000818893,0.000818893,0.000818893
44,1145.27,0.1676,0.97198,1,0.17493,0.000810763,0.000810763,0.000810763
45,1170.92,0.13798,0.96322,1,0.15838,0.000802497,0.000802497,0.000802497
46,1197.08,0.11387,0.97723,1,0.14633,0.000794099,0.000794099,0.000794099
47,1224.3,0.11192,0.97023,1,0.16106,0.000785571,0.000785571,0.000785571
48,1249.83,0.10387,0.96673,0.99825,0.19582,0.000776919,0.000776919,0.000776919
49,1275.37,0.1061,0.96497,1,0.15502,0.000768145,0.000768145,0.000768145
50,1300.32,0.08895,0.97023,0.99825,0.16367,0.000759254,0.000759254,0.000759254
51,1325.24,0.12909,0.96497,0.99825,0.17835,0.00075025,0.00075025,0.00075025
52,1351.63,0.11161,0.95972,1,0.13454,0.000741136,0.000741136,0.000741136
53,1377.24,0.13109,0.96848,1,0.15298,0.000731916,0.000731916,0.000731916
54,1404.56,0.09258,0.96322,1,0.17242,0.000722595,0.000722595,0.000722595
55,1430.83,0.09465,0.96848,1,0.14933,0.000713177,0.000713177,0.000713177
56,1456.61,0.10645,0.96497,1,0.19964,0.000703665,0.000703665,0.000703665
57,1482.11,0.08783,0.97198,1,0.17217,0.000694064,0.000694064,0.000694064
58,1507.43,0.08374,0.97373,0.99825,0.15101,0.000684378,0.000684378,0.000684378
59,1532.84,0.08524,0.97198,1,0.20244,0.000674612,0.000674612,0.000674612
60,1559.63,0.08328,0.97373,0.9965,0.19428,0.000664769,0.000664769,0.000664769
61,1585.48,0.08991,0.97548,0.9965,0.19255,0.000654854,0.000654854,0.000654854
62,1610.99,0.10489,0.97023,0.99825,0.23872,0.000644871,0.000644871,0.000644871
63,1636.6,0.08616,0.97198,1,0.18681,0.000634825,0.000634825,0.000634825
64,1661.31,0.08833,0.97548,0.99825,0.17599,0.000624721,0.000624721,0.000624721
65,1686.89,0.08766,0.97548,1,0.1572,0.000614561,0.000614561,0.000614561
66,1713.18,0.07692,0.97373,1,0.14231,0.000604352,0.000604352,0.000604352
67,1738.31,0.07129,0.97198,0.99825,0.15898,0.000594097,0.000594097,0.000594097
68,1765.02,0.07256,0.97548,0.99825,0.16153,0.000583801,0.000583801,0.000583801
69,1791.23,0.07468,0.96497,0.99825,0.17148,0.000573468,0.000573468,0.000573468
70,1817.27,0.09273,0.96322,0.99825,0.18568,0.000563104,0.000563104,0.000563104
71,1843.17,0.06958,0.96848,1,0.21748,0.000552712,0.000552712,0.000552712
