epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.5286,1.36318,0.71278,0.99825,0.7627,0.000329365,0.000329365,0.000329365
2,57.907,0.78089,0.75657,0.99475,0.6174,0.000662626,0.000662626,0.000662626
3,81.9595,0.71594,0.77758,1,0.66216,0.000995595,0.000995595,0.000995595
4,107.618,0.67121,0.79335,0.9965,0.56763,0.000999014,0.000999014,0.000999014
5,133.233,0.64277,0.82487,1,0.50518,0.000998248,0.000998248,0.000998248
6,157.857,0.51774,0.84063,1,0.41753,0.000997264,0.000997264,0.000997264
7,184.613,0.47698,0.8669,1,0.42007,0.000996061,0.000996061,0.000996061
8,209.688,0.44297,0.84063,0.9965,0.41924,0.000994642,0.000994642,0.000994642
9,234.758,0.3993,0.90893,1,0.3353,0.000993005,0.000993005,0.000993005
10,260.105,0.36723,0.91243,1,0.24807,0.000991152,0.000991152,0.000991152
11,285.531,0.35204,0.91068,1,0.25075,0.000989085,0.000989085,0.000989085
12,311.031,0.29576,0.9387,1,0.19473,0.000986803,0.000986803,0.000986803
13,337.397,0.32773,0.91769,0.99825,0.24802,0.000984307,0.000984307,0.000984307
14,362.74,0.29135,0.91944,1,0.2605,0.0009816,0.0009816,0.0009816
15,388.392,0.29975,0.9317,0.99825,0.27403,0.000978681,0.000978681,0.000978681
16,414.742,0.30774,0.92469,1,0.2138,0.000975553,0.000975553,0.000975553
17,439.87,0.26557,0.9282,1,0.24157,0.000972216,0.000972216,0.000972216
18,465.396,0.27329,0.92469,1,0.18985,0.000968672,0.000968672,0.000968672
19,491.119,0.22372,0.9282,0.99825,0.20577,0.000964923,0.000964923,0.000964923
20,515.484,0.25417,0.93695,0.99825,0.21209,0.000960971,0.000960971,0.000960971
21,540.46,0.25186,0.9352,0.99825,0.20934,0.000956816,0.000956816,0.000956816
22,566.032,0.23687,0.92995,1,0.21179,0.000952461,0.000952461,0.000952461
23,591.528,0.28157,0.9387,0.99825,0.21913,0.000947908,0.000947908,0.000947908
24,617.028,0.23451,0.94571,0.99825,0.16986,0.000943159,0.000943159,0.000943159
25,642.817,0.21757,0.95271,0.99825,0.17402,0.000938215,0.000938215,0.000938215
26,667.837,0.203,0.95271,1,0.16622,0.00093308,0.00093308,0.00093308
27,693.788,0.20913,0.92469,1,0.26556,0.000927754,0.000927754,0.000927754
28,718.658,0.19935,0.96147,0.99825,0.17769,0.000922242,0.000922242,0.000922242
29,744.046,0.17544,0.9387,0.99825,0.20939,0.000916544,0.000916544,0.000916544
30,768.617,0.18979,0.94746,0.99825,0.24468,0.000910664,0.000910664,0.000910664
31,793.931,0.18524,0.94921,1,0.21533,0.000904604,0.000904604,0.000904604
32,819.293,0.18349,0.94221,0.99825,0.20201,0.000898367,0.000898367,0.000898367
33,845.346,0.18096,0.96673,0.99825,0.13868,0.000891955,0.000891955,0.000891955
34,871.193,0.17604,0.95447,1,0.15255,0.000885371,0.000885371,0.000885371
35,895.595,0.15765,0.95096,1,0.1708,0.000878619,0.000878619,0.000878619
36,920.813,0.14389,0.97023,1,0.15108,0.000871701,0.000871701,0.000871701
37,946.111,0.12689,0.96322,1,0.16244,0.00086462,0.00086462,0.00086462
38,973.305,0.17875,0.96673,1,0.15657,0.000857379,0.000857379,0.000857379
39,998.392,0.16087,0.96322,1,0.13878,0.000849982,0.000849982,0.000849982
40,1024.27,0.16088,0.95447,1,0.19433,0.000842431,0.000842431,0.000842431
41,1049.76,0.12049,0.96673,1,0.13209,0.000834731,0.000834731,0.000834731
42,1075.24,0.12156,0.95972,1,0.18392,0.000826884,0.000826884,0.000826884
43,1100.69,0.1406,0.96848,1,0.13303,0.000818893,0.000818893,0.000818893
44,1125.87,0.1493,0.97023,1,0.12921,0.000810763,0.000810763,0.000810763
45,1151.46,0.14729,0.96497,1,0.1546,0.000802497,0.000802497,0.000802497
46,1177.28,0.12308,0.96497,1,0.1486,0.000794099,0.000794099,0.000794099
47,1203.39,0.11942,0.97023,0.99825,0.14262,0.000785571,0.000785571,0.000785571
48,1228.49,0.1057,0.96848,1,0.14651,0.000776919,0.000776919,0.000776919
49,1254.08,0.12711,0.96497,1,0.1539,0.000768145,0.000768145,0.000768145
50,1278.97,0.10094,0.97198,1,0.12693,0.000759254,0.000759254,0.000759254
51,1304.99,0.11357,0.96497,1,0.14455,0.00075025,0.00075025,0.00075025
52,1330.71,0.10187,0.96673,1,0.15581,0.000741136,0.000741136,0.000741136
53,1356.27,0.11618,0.97023,0.99825,0.15531,0.000731916,0.000731916,0.000731916
54,1381.35,0.09951,0.97023,1,0.11994,0.000722595,0.000722595,0.000722595
55,1406.47,0.1067,0.96848,1,0.12312,0.000713177,0.000713177,0.000713177
56,1431.94,0.10873,0.96848,0.99825,0.14501,0.000703665,0.000703665,0.000703665
57,1457.1,0.08847,0.96848,1,0.15696,0.000694064,0.000694064,0.000694064
58,1482.1,0.08025,0.97548,1,0.10087,0.000684378,0.000684378,0.000684378
59,1507.9,0.08332,0.97548,1,0.14256,0.000674612,0.000674612,0.000674612
60,1532.92,0.09282,0.96848,0.99825,0.13077,0.000664769,0.000664769,0.000664769
61,1557.87,0.08508,0.96673,0.99825,0.12312,0.000654854,0.000654854,0.000654854
62,1582.65,0.08807,0.96497,0.99825,0.16362,0.000644871,0.000644871,0.000644871
63,1608.65,0.07376,0.96497,0.99825,0.1789,0.000634825,0.000634825,0.000634825
64,1633.04,0.0721,0.97023,0.99825,0.13248,0.000624721,0.000624721,0.000624721
65,1659.59,0.07732,0.96848,0.99825,0.12383,0.000614561,0.000614561,0.000614561
66,1684.94,0.083,0.97548,0.99825,0.15626,0.000604352,0.000604352,0.000604352
67,1709.25,0.08251,0.97548,0.99825,0.16508,0.000594097,0.000594097,0.000594097
68,1735.24,0.08221,0.97198,1,0.17429,0.000583801,0.000583801,0.000583801
69,1761.47,0.07789,0.95972,1,0.16854,0.000573468,0.000573468,0.000573468
70,1787.15,0.07845,0.96673,1,0.15942,0.000563104,0.000563104,0.000563104
71,1812.92,0.0792,0.96673,1,0.18881,0.000552712,0.000552712,0.000552712
72,1838.64,0.07806,0.97023,1,0.21174,0.000542297,0.000542297,0.000542297
73,1863.97,0.10393,0.96848,1,0.17601,0.000531864,0.000531864,0.000531864
74,1888.99,0.05613,0.97023,1,0.14466,0.000521417,0.000521417,0.000521417
75,1915.25,0.0683,0.97373,1,0.12644,0.000510961,0.000510961,0.000510961
76,1940.05,0.07129,0.96673,1,0.18325,0.0005005,0.0005005,0.0005005
77,1965.43,0.0629,0.96673,1,0.19546,0.000490039,0.000490039,0.000490039
78,1990.98,0.05236,0.97023,1,0.1589,0.000479583,0.000479583,0.000479583
79,2016.12,0.05767,0.97198,1,0.16534,0.000469136,0.000469136,0.000469136
80,2041.55,0.04544,0.96848,0.99825,0.20016,0.000458703,0.000458703,0.000458703
81,2067.63,0.05905,0.97548,0.99825,0.18928,0.000448288,0.000448288,0.000448288
82,2093.27,0.05533,0.97198,0.99825,0.18334,0.000437896,0.000437896,0.000437896
83,2118.32,0.05584,0.97023,0.99825,0.19513,0.000427532,0.000427532,0.000427532
