epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.513,1.40607,0.71979,0.9965,0.78054,0.000329365,0.000329365,0.000329365
2,56.3185,0.75651,0.76532,0.99825,0.59923,0.000662626,0.000662626,0.000662626
3,83.0259,0.71616,0.77233,0.99825,0.77436,0.000995595,0.000995595,0.000995595
4,108.659,0.68298,0.8056,1,0.5941,0.000999014,0.000999014,0.000999014
5,134.243,0.67134,0.84939,1,0.44938,0.000998248,0.000998248,0.000998248
6,160.743,0.53079,0.87215,0.99825,0.34738,0.000997264,0.000997264,0.000997264
7,187.091,0.4818,0.85114,0.99825,0.49702,0.000996061,0.000996061,0.000996061
8,213.907,0.44587,0.86865,0.9965,0.40205,0.000994642,0.000994642,0.000994642
9,239.967,0.41263,0.87215,0.99825,0.35113,0.000993005,0.000993005,0.000993005
10,266.052,0.38478,0.89317,0.99825,0.31582,0.000991152,0.000991152,0.000991152
11,291.948,0.35985,0.92119,1,0.20247,0.000989085,0.000989085,0.000989085
12,318.151,0.32342,0.90718,1,0.30621,0.000986803,0.000986803,0.000986803
13,344.004,0.35649,0.93695,1,0.24969,0.000984307,0.000984307,0.000984307
14,368.249,0.3008,0.92119,1,0.28779,0.0009816,0.0009816,0.0009816
15,394.332,0.28863,0.92294,0.99825,0.23706,0.000978681,0.000978681,0.000978681
16,421.497,0.28122,0.90893,0.99825,0.29306,0.000975553,0.000975553,0.000975553
17,446.107,0.29036,0.91944,1,0.23328,0.000972216,0.000972216,0.000972216
18,470.991,0.27801,0.91068,0.99825,0.32861,0.000968672,0.000968672,0.000968672
19,497.495,0.24857,0.92294,1,0.22595,0.000964923,0.000964923,0.000964923
20,522.801,0.21218,0.9387,1,0.2091,0.000960971,0.000960971,0.000960971
21,548.41,0.2283,0.9352,1,0.24624,0.000956816,0.000956816,0.000956816
22,574.953,0.23449,0.94046,0.99825,0.22245,0.000952461,0.000952461,0.000952461
23,600.689,0.26364,0.92644,0.99825,0.22584,0.000947908,0.000947908,0.000947908
24,626.829,0.2536,0.94396,0.99825,0.21406,0.000943159,0.000943159,0.000943159
25,653.505,0.21232,0.9387,0.99825,0.2086,0.000938215,0.000938215,0.000938215
26,679.467,0.20476,0.94046,0.99825,0.19952,0.00093308,0.00093308,0.00093308
27,705.343,0.20304,0.94746,0.99825,0.21894,0.000927754,0.000927754,0.000927754
28,731.204,0.19992,0.92995,1,0.22978,0.000922242,0.000922242,0.000922242
29,756.829,0.19128,0.96147,1,0.16202,0.000916544,0.000916544,0.000916544
30,782.999,0.18998,0.9352,0.99825,0.27732,0.000910664,0.000910664,0.000910664
31,809.772,0.1857,0.94746,0.99825,0.2265,0.000904604,0.000904604,0.000904604
32,835.342,0.18633,0.94746,0.99825,0.22174,0.000898367,0.000898367,0.000898367
33,861.159,0.18406,0.95447,0.99825,0.21736,0.000891955,0.000891955,0.000891955
34,887.655,0.21048,0.94396,1,0.19656,0.000885371,0.000885371,0.000885371
35,913.363,0.15039,0.96147,0.99825,0.17913,0.000878619,0.000878619,0.000878619
36,938.632,0.14394,0.95972,1,0.15706,0.000871701,0.000871701,0.000871701
37,964.539,0.15227,0.94046,1,0.18984,0.00086462,0.00086462,0.00086462
