epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.3869,1.40488,0.71454,0.99299,0.81158,0.000329365,0.000329365,0.000329365
2,58.1259,0.75503,0.77758,0.99825,0.61933,0.000662626,0.000662626,0.000662626
3,85.5756,0.70153,0.79685,0.9965,0.5921,0.000995595,0.000995595,0.000995595
4,111.043,0.67278,0.81786,0.99825,0.52308,0.000999014,0.000999014,0.000999014
5,137.294,0.61249,0.81261,0.99825,0.51717,0.000998248,0.000998248,0.000998248
6,163.761,0.5,0.87566,1,0.40649,0.000997264,0.000997264,0.000997264
7,189.754,0.49533,0.88266,0.99825,0.35072,0.000996061,0.000996061,0.000996061
8,215.225,0.44467,0.85639,0.99825,0.39981,0.000994642,0.000994642,0.000994642
9,241.149,0.40809,0.88266,1,0.34728,0.000993005,0.000993005,0.000993005
10,267.237,0.34339,0.89492,1,0.34322,0.000991152,0.000991152,0.000991152
11,292.447,0.3336,0.92469,1,0.23538,0.000989085,0.000989085,0.000989085
12,318.419,0.29249,0.91769,1,0.27973,0.000986803,0.000986803,0.000986803
13,344.329,0.34152,0.92294,1,0.24859,0.000984307,0.000984307,0.000984307
14,370.486,0.30793,0.90718,1,0.27968,0.0009816,0.0009816,0.0009816
15,396.998,0.34913,0.90193,1,0.37937,0.000978681,0.000978681,0.000978681
16,423.304,0.32015,0.9282,1,0.24362,0.000975553,0.000975553,0.000975553
17,448.627,0.2737,0.9352,1,0.2676,0.000972216,0.000972216,0.000972216
18,474.021,0.25581,0.92469,1,0.24217,0.000968672,0.000968672,0.000968672
19,500.065,0.25946,0.91769,0.99825,0.31665,0.000964923,0.000964923,0.000964923
20,525.025,0.23536,0.94046,1,0.22151,0.000960971,0.000960971,0.000960971
21,551.724,0.22064,0.92294,1,0.25987,0.000956816,0.000956816,0.000956816
22,578.688,0.21851,0.95271,1,0.19253,0.000952461,0.000952461,0.000952461
23,602.683,0.2342,0.92995,1,0.22739,0.000947908,0.000947908,0.000947908
24,628.655,0.22174,0.94921,1,0.15398,0.000943159,0.000943159,0.000943159
25,655.821,0.1987,0.93695,1,0.22038,0.000938215,0.000938215,0.000938215
26,680.207,0.23455,0.92644,1,0.23208,0.00093308,0.00093308,0.00093308
27,706.653,0.22465,0.95096,1,0.23185,0.000927754,0.000927754,0.000927754
28,732.148,0.16277,0.95797,1,0.17427,0.000922242,0.000922242,0.000922242
29,758.935,0.19696,0.95447,1,0.19799,0.000916544,0.000916544,0.000916544
30,785.44,0.16505,0.95096,0.99825,0.23146,0.000910664,0.000910664,0.000910664
31,812.056,0.17041,0.94746,1,0.22884,0.000904604,0.000904604,0.000904604
32,836.485,0.20994,0.95096,0.99825,0.21305,0.000898367,0.000898367,0.000898367
33,863.097,0.20772,0.94746,1,0.22032,0.000891955,0.000891955,0.000891955
34,889.16,0.2142,0.95271,0.99825,0.16171,0.000885371,0.000885371,0.000885371
35,915.993,0.16731,0.94571,1,0.21144,0.000878619,0.000878619,0.000878619
36,941.292,0.13768,0.94921,0.99825,0.16917,0.000871701,0.000871701,0.000871701
37,967.075,0.13204,0.95271,0.99825,0.23404,0.00086462,0.00086462,0.00086462
38,992.814,0.14468,0.95797,0.99825,0.20761,0.000857379,0.000857379,0.000857379
39,1019.43,0.147,0.95271,0.9965,0.21577,0.000849982,0.000849982,0.000849982
40,1046.26,0.13131,0.94921,0.99825,0.24907,0.000842431,0.000842431,0.000842431
41,1072.37,0.12605,0.96673,1,0.17386,0.000834731,0.000834731,0.000834731
42,1097.66,0.13326,0.96497,1,0.13165,0.000826884,0.000826884,0.000826884
43,1123.68,0.15517,0.96673,1,0.1463,0.000818893,0.000818893,0.000818893
44,1150.19,0.15702,0.96322,1,0.16477,0.000810763,0.000810763,0.000810763
45,1176.69,0.12122,0.96848,0.99825,0.13317,0.000802497,0.000802497,0.000802497
46,1203.28,0.11773,0.97198,1,0.13416,0.000794099,0.000794099,0.000794099
47,1229.98,0.10489,0.97373,0.9965,0.16608,0.000785571,0.000785571,0.000785571
48,1256.54,0.10408,0.96848,1,0.17792,0.000776919,0.000776919,0.000776919
49,1282.9,0.1041,0.97373,1,0.15172,0.000768145,0.000768145,0.000768145
50,1308.23,0.10097,0.96147,0.99825,0.18506,0.000759254,0.000759254,0.000759254
51,1333.43,0.11642,0.95622,0.99825,0.21751,0.00075025,0.00075025,0.00075025
52,1359.54,0.10589,0.97023,0.9965,0.16252,0.000741136,0.000741136,0.000741136
53,1385.59,0.10319,0.96147,0.9965,0.17318,0.000731916,0.000731916,0.000731916
54,1411.34,0.09709,0.96673,0.99825,0.19003,0.000722595,0.000722595,0.000722595
55,1438.62,0.09114,0.96848,0.99825,0.14965,0.000713177,0.000713177,0.000713177
56,1465.39,0.09511,0.96848,0.99825,0.15763,0.000703665,0.000703665,0.000703665
57,1490.5,0.0859,0.97898,0.99825,0.161,0.000694064,0.000694064,0.000694064
58,1516.46,0.10125,0.96147,0.99825,0.17559,0.000684378,0.000684378,0.000684378
59,1542.56,0.09532,0.96322,0.9965,0.19679,0.000674612,0.000674612,0.000674612
60,1568.97,0.09072,0.97198,0.9965,0.1824,0.000664769,0.000664769,0.000664769
61,1595.42,0.08616,0.96848,0.9965,0.17821,0.000654854,0.000654854,0.000654854
62,1619.7,0.07428,0.97023,0.9965,0.16499,0.000644871,0.000644871,0.000644871
63,1646.48,0.05819,0.96497,1,0.16667,0.000634825,0.000634825,0.000634825
64,1671.9,0.06388,0.97373,0.99825,0.1733,0.000624721,0.000624721,0.000624721
65,1698.91,0.09615,0.96147,0.9965,0.22874,0.000614561,0.000614561,0.000614561
66,1724.46,0.06498,0.96673,1,0.16765,0.000604352,0.000604352,0.000604352
67,1751.01,0.06871,0.97023,0.9965,0.16053,0.000594097,0.000594097,0.000594097
68,1777.61,0.0762,0.97373,0.99825,0.16103,0.000583801,0.000583801,0.000583801
69,1803.85,0.08351,0.96673,1,0.1497,0.000573468,0.000573468,0.000573468
70,1830.36,0.08421,0.96322,0.9965,0.17147,0.000563104,0.000563104,0.000563104
71,1855.69,0.0693,0.95972,1,0.21825,0.000552712,0.000552712,0.000552712
72,1881.53,0.0689,0.96322,1,0.21507,0.000542297,0.000542297,0.000542297
73,1907.46,0.07754,0.96673,1,0.15961,0.000531864,0.000531864,0.000531864
74,1933.12,0.06662,0.96322,1,0.17593,0.000521417,0.000521417,0.000521417
75,1959.94,0.05914,0.96497,1,0.18555,0.000510961,0.000510961,0.000510961
76,1985.64,0.05394,0.96848,1,0.17767,0.0005005,0.0005005,0.0005005
77,2012.5,0.0523,0.97023,0.9965,0.20854,0.000490039,0.000490039,0.000490039
78,2038.69,0.05185,0.97023,0.99825,0.15777,0.000479583,0.000479583,0.000479583
79,2063.64,0.05271,0.97198,0.99825,0.1822,0.000469136,0.000469136,0.000469136
